,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
20982,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Assault in Progress ,ASLT5,44.981648,-93.273116
20983,Maximal Restraint Technique,Female,White,Tensed                                                                         ,Harrison,Domestic ,DASLT5,44.980743,-93.306062
20984,Bodily Force,Male,Black,Tensed                                                                         ,North Loop,Traffic Law Enforcement ,NARC,44.990613,-93.280785
20985,Bodily Force,Male,Black,Fled on Foot                                                                   ,Near - North,Suspicious Person ,NARC,44.999135,-93.286823
20986,Bodily Force,Female,Black,Tensed                                                                         ,Downtown West,Suspicious Person ,OPBOTT,44.976808,-93.276431
20987,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Downtown West,Fight ,DISCON,44.980808,-93.273141
20988,Bodily Force,Male,Black,Tensed                                                                         ,Willard - Hay,Traffic Law Enforcement ,WT,45.000601,-93.311414
20989,Bodily Force,Male,Unknown,Commission of a Crime                                                          ,Loring Park,Assault in Progress ,OBSTRU,44.970506,-93.277714
20990,Taser,Male,Native American,Fled on Foot                                                                   ,Whittier,Slumper ,STOLMV,44.955527,-93.274686
20992,Bodily Force,Male,White,Other                                                                          ,St. Anthony West,Check the Welfare ,CIC,44.998318,-93.257527
20993,Bodily Force,Male,Black,Fled on Foot                                                                   ,CARAG,Chase on Foot ,FLEEFT,44.948362,-93.292554
20994,Bodily Force,Male,White,Commission of a Crime                                                          ,Whittier,Burglary Dwlng In Progress ,DAMPRP,44.960015,-93.28675
20995,Bodily Force,Male,Black,Fled on Foot                                                                   ,Near - North,Suspicious Person ,WT,44.989335,-93.301961
20996,Bodily Force,Male,White,Assaulted Officer                                                              ,Marcy Holmes,Assault in Progress ,DAMMV,44.995943,-93.247639
20997,Chemical Irritant,Male,Black,Assaulted Police Horse                                                         ,Lowry Hill East,Disturbance ,FORCE,44.949646,-93.295726
20998,Taser,Male,Black,Tensed                                                                         ,Downtown West,Suspicious Person ,OBSTRU,44.97597,-93.276159
20999,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,Disturbance ,OBSTRU,44.991192,-93.298199
21001,Bodily Force,Male,White,Commission of a Crime                                                          ,Cedar Riverside,Domestic Abuse-In Progress ,DASLT5,44.967746,-93.245693
21002,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Holland,Audible Business Alarm ,BURGTL,45.011108,-93.25549
21003,Taser,not recorded,not recorded,Other                                                                          ,Webber - Camden,Domestic ,DAMPRP,45.026625,-93.286554
21004,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Folwell,Traffic Law Enforcement ,WT,45.013147,-93.296217
21005,Chemical Irritant,Female,Black,Commission of a Crime                                                          ,Cedar Riverside,Fight ,DISCON,44.971325,-93.247134
21006,Chemical Irritant,Female,Black,Other                                                                          ,Cedar Riverside,Fight ,DISCON,44.971325,-93.247134
21007,Bodily Force,Male,Black,Assaulted Officer                                                              ,Field,Check the Welfare ,ASLT4,44.913523,-93.2665
21008,Bodily Force,Male,Black,Tensed,Hawthorne,Emotionally Disturb Person ,DAMMV,44.999685,-93.287989
21009,Taser,Male,Black,Verbal Non-Compliance,Ventura Village,Emotionally Disturb Person ,CIC,44.963319,-93.262553
21010,Chemical Irritant,Male,Asian,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON,44.981648,-93.273116
21011,Chemical Irritant,Female,White,Commission of Crime,Mid - City Industrial,Assist a Disabled Person ,CBYMIN,44.991941,-93.221525
21012,Chemical Irritant,Male,Black,Tensed,North Loop,Business Check ,DISCON,44.98431,-93.279496
21013,Bodily Force,Male,Black,Unspecified,Downtown West,Fight ,ASLT3,44.980065,-93.271883
21014,Bodily Force,Male,Unknown,Unspecified,Willard - Hay,Officer Needs Help ,OBSTRU,44.984412,-93.3083
21015,Bodily Force,Male,White,Assaulted Officer,East Isles,Disturbance ,OBSTRU,44.949978,-93.300805
21016,Taser,Male,White,Verbal Non-Compliance,Downtown East,Unwanted Person ,THREAT,44.97664,-93.255821
21017,Bodily Force,Male,White,Tensed,Nicollet Island - East Bank,Assault in Progress ,ASLT5,44.987647,-93.256014
21018,Chemical Irritant,Male,Black,Commission of Crime,Lowry Hill East,Fight ,FORCE,44.948812,-93.297004
21019,Bodily Force,Female,White,Tensed,Near - North,Domestic Abuse-In Progress ,DASLT5,44.998069,-93.297172
21020,Bodily Force,Male,Black,Other                                                                          ,Seward,Music-Loud ,DISCON,44.962747,-93.24172
21021,Bodily Force,Male,Black,Fled on Foot                                                                   ,Downtown West,Suspicious Person ,NARC,44.976808,-93.276431
21022,Bodily Force,Female,Black,Tensed                                                                         ,Lyndale,Domestic Abuse-In Progress ,OFPEN,44.947488,-93.286833
21023,Bodily Force,Male,Black,Assaulted Officer                                                              ,North Loop,Damage Property-In Progress,ASLT4,44.977192,-93.281585
21024,Bodily Force,Male,White,Other                                                                          ,Windom,Paramedic Needs Help ,ASLT4,44.897869,-93.277465
21025,Bodily Force,Male,Black,Other                                                                          ,North Loop,Assault in Progress ,MISC,44.979651,-93.286883
21026,Bodily Force,Male,White,Commission of a Crime                                                          ,Loring Park,Unwanted Person ,ASLT5,44.967891,-93.277816
21027,Bodily Force,Male,Black,Other                                                                          ,Jordan,Property Damage Accident ,WT,45.006897,-93.303157
21028,Bodily Force,Male,White,Assaulted Officer                                                              ,Lowry Hill East,Drunk/Intoxicated Person ,DISCON,44.948366,-93.297008
21029,Bodily Force,Female,Black,Unspecified,Sumner - Glenwood,Domestic with Weapons ,DASLT5,44.984349,-93.288616
21030,Bodily Force,Male,Black,Unspecified,Downtown East,Suspicious Person ,FORCE,44.975184,-93.258948
21031,Chemical Irritant,not recorded,not recorded,Commission of Crime,Downtown West,Fight ,FORCE,44.980065,-93.271883
21032,Bodily Force,Male,Black,Tensed,Downtown West,Unknown Trouble ,OBSTRU,44.981648,-93.273116
21033,Bodily Force,Male,White,Tensed,King Field,Miscellaneous ,TRSPAS,44.934126,-93.275969
21034,Bodily Force,Male,Black,Tensed,Willard - Hay,Domestic Abuse-In Progress ,DASLT5,45.003323,-93.314603
21035,Bodily Force,Male,White,Fled on Foot,Victory,Attempt Pick-Up ,WT,45.035449,-93.311376
21036,Chemical Irritant,Male,Asian,Commission of Crime,Downtown West,Disturbance ,RIOT,44.979626,-93.272499
21037,Bodily Force,Male,White,Tensed,Lowry Hill East,Suspicious Vehicle ,OBSTRU,44.957332,-93.288666
21038,Baton,Male,White,Commission of Crime,Nicollet Island - East Bank,Burglary Dwlng In Progress ,BURGD,44.986733,-93.264128
21039,Bodily Force,Male,Black,Assaulted Officer,Near - North,Suspicious Vehicle ,ASLT4,44.999153,-93.293351
21040,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON,44.982469,-93.271954
21041,Taser,Male,Black,Assaulted Officer                                                              ,Field,Check the Welfare ,ASLT4,44.913523,-93.2665
21042,Bodily Force,Male,Native American,Tensed                                                                         ,Downtown West,Suspicious Person ,WT,44.977551,-93.266136
21043,Bodily Force,Male,White,Tensed                                                                         ,Windom,Domestic ,CIC,44.904048,-93.278707
21044,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Suspicious Person ,DISCON,44.981655,-93.271963
21045,Bodily Force,Male,Black,Fled on Foot                                                                   ,North Loop,Suspicious Person ,OBSTRU,44.98431,-93.279496
21046,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Downtown West,Fight ,ASLT4,44.979626,-93.272499
21047,Bodily Force,Male,Black,Assaulted Officer                                                              ,Whittier,Unwanted Person ,ASLT4,44.960913,-93.287378
21048,Bodily Force,Male,Black,Fled on Foot                                                                   ,Hawthorne,Suspicious Person ,MJSMAL,44.999685,-93.287989
21049,Bodily Force,Male,Black,Other                                                                          ,Willard - Hay,Theft ,ASLT5,45.006028,-93.311817
21050,Bodily Force,Male,Unknown,Assaulted Officer                                                              ,Corcoran,Disturbance ,ASLT4,44.938634,-93.234666
21051,Bodily Force,Female,White,Assaulted Officer                                                              ,Jordan,Poss Personal Injury Acc ,ASLT4,45.005383,-93.294112
21052,Taser,Male,White,Tensed                                                                         ,Loring Park,Suspicious Person ,ASLT5,44.96933,-93.281854
21053,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Jordan,Check the Welfare ,CIC,44.999158,-93.294876
21054,Bodily Force,Male,Black,Other                                                                          ,Near - North,Robbery of Person ,ROBPAG,44.996866,-93.29564
21055,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,North Loop,Unwanted Person ,TRSPAS,44.987172,-93.276238
21056,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Robbery of Biz In Progress ,ASLT5,44.976808,-93.276431
21057,Bodily Force,Male,Black,Fled on Foot                                                                   ,Lowry Hill East,Unwanted Person ,AUTOTH,44.94881,-93.295737
21058,Bodily Force,Female,Black,Commission of a Crime                                                          ,Downtown West,Disturbance ,DISCON,44.981655,-93.271963
21059,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Assault in Progress ,ASLT5,44.979626,-93.272499
21060,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
21061,Bodily Force,Male,Black,Fled on Foot,Jordan,Officer Needs Help ,ASLT4,45.00278,-93.302827
21062,Bodily Force,Male,Black,Unspecified,McKinley,ShotSpotter Activation ,OBSTRU,45.016723,-93.29244
21063,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,FORCE,44.980808,-93.273141
21064,Chemical Irritant,Male,White,Tensed,North Loop,Unwanted Person ,DISCON,44.978929,-93.281529
21065,Bodily Force,Male,Black,Tensed,Sumner - Glenwood,Assault in Progress ,DASLT5,44.983243,-93.288692
21066,Bodily Force,Female,Black,Tensed,East Isles,Suspicious Person ,OBSTRU,44.959122,-93.294235
21067,Bodily Force,Female,Other / Mixed Race,Commission of Crime,Lyndale,Suspicious Vehicle ,OBSTRU,44.940441,-93.277916
21068,Bodily Force,Male,Black,Unspecified,North Loop,Traffic Law Enforcement ,DWI,44.98422,-93.283011
21069,Bodily Force,Male,White,Commission of Crime,Downtown West,Officer Needs Help ,OBSTRU,44.979986,-93.274284
21070,Taser,Male,Black,Assaulted Officer,Near - North,Suspicious Vehicle ,ASLT4,44.999153,-93.293351
21071,Bodily Force,Male,White,Tensed,Harrison,Domestic Abuse-In Progress ,CIC,44.983363,-93.301979
21072,Bodily Force,Female,White,Unspecified,Windom Park,Check the Welfare ,CIC,45.006448,-93.242278
21073,Bodily Force,Male,Native American,Verbal Non-Compliance                                                          ,Folwell,Domestic with Weapons ,FORCE,45.016752,-93.296221
21074,Bodily Force,Male,White,Commission of a Crime                                                          ,North Loop,Damage Property-In Progress,DAMPRP,44.979651,-93.286883
21075,Bodily Force,Female,Black,Tensed                                                                         ,Ventura Village,Officer Needs Help ,PUBURN,44.959577,-93.252345
21076,Chemical Irritant,Male,Black,Other                                                                          ,Downtown West,Disturbance ,DISCON,44.981648,-93.273116
21077,Bodily Force,Female,Black,Tensed                                                                         ,Folwell,Traffic Law Enforcement ,DWI,45.018546,-93.2937
21078,Bodily Force,Male,White,Tensed                                                                         ,Northeast Park,Down Outside-One ,FORCE,45.005948,-93.226779
21079,Chemical Irritant,Female,Black,Commission of a Crime                                                          ,Downtown West,Fight ,FORCE,44.981661,-93.270806
21080,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Suspicious Person ,OBSTRU,44.979986,-93.274284
21081,Bodily Force,Male,White,Commission of a Crime                                                          ,Cleveland,Assault in Progress ,ASLT5,45.017756,-93.308259
21082,Bodily Force,Male,Black,Fled on Foot                                                                   ,Webber - Camden,Suspicious Vehicle ,R&C,45.028459,-93.288095
21083,Bodily Force,Male,Black,Assaulted Officer                                                              ,CARAG,Officer Needs Help ,ASLT4,44.948364,-93.290013
21084,Taser,Male,Black,Assaulted Officer                                                              ,Folwell,Domestic Abuse-In Progress ,DASLT5,45.014044,-93.295587
21085,Bodily Force,Male,Black,Fled on Foot                                                                   ,Hawthorne,Person with a Gun ,WEAP,44.999694,-93.29105
21086,Bodily Force,Male,White,Tensed                                                                         ,Whittier,Emotionally Disturb Person ,CIC,44.960903,-93.275912
21087,Bodily Force,Unknown,Unknown,Assaulted Officer                                                              ,Downtown West,Shooting ,ASLT2,44.976808,-93.276431
21088,Bodily Force,Male,White,Tensed                                                                         ,Steven's Square - Loring Heights,Emotionally Disturb Person ,CIC,44.963589,-93.287952
21089,Bodily Force,Male,Black,Other                                                                          ,Longfellow,Theft-Hold One Cooperative ,SHOPLF,44.94837,-93.236855
21090,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Fight ,ASLT5,44.975335,-93.277636
21091,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Loring Park,Fight ,OBSTRU,44.968257,-93.280838
21092,Bodily Force,Male,Black,Tensed                                                                         ,Seward,Unknown Trouble ,DASLT5,44.9587,-93.236213
21093,Bodily Force,Female,White,Other                                                                          ,Lowry Hill East,Unknown Trouble ,DISCON,44.949609,-93.298274
21094,Bodily Force,Male,White,Other                                                                          ,University of Minnesota,Fight ,DISCON,44.974179,-93.228695
21095,Bodily Force,Male,Native American,Other                                                                          ,Marcy Holmes,Unwanted Person ,DAMPRP,44.985314,-93.233748
21096,Bodily Force,Male,Black,Assaulted Officer                                                              ,Downtown West,Officer Needs Help ,SHOPLF,44.975433,-93.273422
21097,Bodily Force,Male,Black,Tensed                                                                         ,Diamond Lake,Damage Property-In Progress,DASLT5,44.900681,-93.256428
21098,Bodily Force,Male,White,Assaulted Officer                                                              ,Whittier,Domestic Abuse-In Progress ,ASLT4,44.952843,-93.279659
21099,Bodily Force,Male,Black,Assaulted Officer                                                              ,North Loop,Disturbance ,OBSTRU,44.98431,-93.279496
21100,Bodily Force,Male,Black,Commission of a Crime                                                          ,North Loop,Theft ,THEFT,44.98431,-93.279496
21101,Bodily Force,Male,Black,Tensed                                                                         ,Jordan,Domestic Abuse-In Progress ,DOMEN,45.000266,-93.297992
21102,Bodily Force,Female,White,Other                                                                          ,Lowry Hill East,Unknown Trouble ,CIC,44.951953,-93.29126
21103,Bodily Force,Female,Black,Verbal Non-Compliance                                                          ,CARAG,Officer Needs Help ,ASLT4,44.948364,-93.290013
21104,Bodily Force,Male,Black,Commission of a Crime                                                          ,ECCO,Sound of Shots Fired ,ASLT2,44.948364,-93.298919
21105,Taser,Male,Black,Tensed                                                                         ,Marshall Terrace,Disturbance ,DISCON,45.014068,-93.266195
21106,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Downtown West,On Site ,TFPER,44.979986,-93.274284
21109,Bodily Force,Male,White,Fled in a Vehicle                                                              ,Willard - Hay,Motor Vehicle Chase ,STOLMV,45.010509,-93.317162
21110,Chemical Irritant,Female,Black,Other                                                                          ,Cedar Riverside,Fight ,DISCON,44.971325,-93.247134
21111,Taser,Female,Black,Other                                                                          ,Cedar Riverside,Fight ,DISCON,44.971325,-93.247134
21112,Bodily Force,Male,Native American,Assaulted Officer                                                              ,Loring Park,Burglary Dwlng In Progress ,BURGD,44.966928,-93.283228
21113,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Fight ,FORCE,44.977582,-93.275347
21114,Bodily Force,Female,White,Unspecified,Waite Park,Down Outside-One ,CIC,45.035641,-93.232684
21115,Taser,Male,Black,Verbal Non-Compliance,Ventura Village,Emotionally Disturb Person ,CIC,44.963319,-93.262553
21116,Bodily Force,Male,Black,Unspecified,Howe,Robbery of Biz In Progress ,ROBBIZ,44.935745,-93.224683
21117,Bodily Force,Male,Black,Commission of Crime,Downtown West,Theft ,BURGD,44.970316,-93.270202
21118,Chemical Irritant,Female,Black,Commission of Crime,Hawthorne,Disturbance ,FORCE,44.999129,-93.284117
21119,Chemical Irritant,Male,Black,Unspecified,Downtown West,Indecent Exposure ,FORCE,44.979187,-93.273109
21120,Bodily Force,Male,Black,Tensed,Willard - Hay,Officer Needs Help ,OBSTRU,44.984412,-93.3083
21121,Bodily Force,Male,Black,Verbal Non-Compliance,Columbia Park,Domestic Abuse-In Progress ,DISCON,45.035094,-93.25995
21122,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,ASLT5,44.979626,-93.272499
21123,Bodily Force,Female,Black,Tensed,Near - North,Attempted Suicide ,PRIORI,44.984372,-93.294136
21124,Bodily Force,Male,Black,Commission of Crime,North Loop,Suspicious Person ,DISCON,44.986572,-93.271861
21125,Bodily Force,Male,White,Assaulted Officer                                                              ,Powderhorn Park,Overdose-Accidental ,ASLT4,44.943836,-93.255018
21126,Bodily Force,Male,White,Other                                                                          ,McKinley,Burglary Dwlng In Progress ,WT,45.019414,-93.289295
21128,Maximal Restraint Technique,Female,Black,Tensed                                                                         ,Lyndale,Domestic Abuse-In Progress ,OFPEN,44.947488,-93.286833
21129,Maximal Restraint Technique,Male,White,Commission of a Crime                                                          ,Windom,Paramedic Needs Help ,ASLT4,44.897869,-93.277465
21130,Bodily Force,Male,White,Other                                                                          ,Windom,Paramedic Needs Help ,ASLT4,44.897869,-93.277465
21131,Bodily Force,Male,Black,Other                                                                          ,North Loop,Assault in Progress ,MISC,44.979651,-93.286883
21132,Bodily Force,Male,Black,Other                                                                          ,Cleveland,Domestic Abuse-In Progress ,DASLT5,45.023183,-93.30959
21133,Improvised Weapon,Female,Native American,Fled in a Vehicle                                                              ,Howe,Motor Vehicle Chase ,STOLMV,44.939556,-93.227468
21134,Chemical Irritant,Female,White,Assaulted Officer                                                              ,Lowry Hill East,Assist EMS Personnel ,ASLT4,44.948812,-93.297004
21135,Bodily Force,Male,Black,Unspecified,Hawthorne,Disturbance ,CIC,45.012222,-93.294328
21136,Bodily Force,Male,Black,Unspecified,McKinley,ShotSpotter Activation ,OBSTRU,45.016723,-93.29244
21137,Bodily Force,Male,Black,Unspecified,Lowry Hill East,Disturbance ,DISCON,44.949609,-93.298274
21138,Bodily Force,Male,Black,Unspecified,Whittier,Check the Welfare ,CIC,44.951344,-93.28299
21139,Bodily Force,Male,Black,Fled on Foot,Near - North,Motor Vehicle Chase ,NARC,44.994693,-93.295646
21140,Gun Point Display,Male,White,Commission of Crime,Cedar Riverside,Person with a Weapon ,DASLT2,44.965304,-93.235925
21141,Chemical Irritant,Male,Other / Mixed Race,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON,44.980808,-93.273141
21142,Bodily Force,Male,White,Tensed,Lowry Hill East,Suspicious Vehicle ,OBSTRU,44.957332,-93.288666
21143,Taser,Male,White,Commission of Crime,Nicollet Island - East Bank,Burglary Dwlng In Progress ,BURGD,44.986733,-93.264128
21144,Bodily Force,Male,White,Commission of Crime,Nicollet Island - East Bank,Burglary Dwlng In Progress ,BURGD,44.986733,-93.264128
21145,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Disturbance ,ASLT5,44.980808,-93.273141
21146,Bodily Force,Male,White,Tensed,Lowry Hill East,Drunk/Intoxicated Person ,HLTWEL,44.949609,-93.298274
21147,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,Shooting ,ASLT2,44.999135,-93.286823
21148,Bodily Force,Male,Native American,Tensed                                                                         ,Downtown West,Suspicious Person ,WT,44.977551,-93.266136
21149,Taser,Male,Black,Tensed                                                                         ,Downtown East,Walk Through a Building ,TRSPAS,44.975466,-93.259606
21150,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,Downtown West,Suspicious Person ,NARC,44.979187,-93.273109
21151,Bodily Force,Female,Black,Verbal Non-Compliance                                                          ,King Field,Unknown Trouble ,DASLT5,44.934121,-93.277262
21152,Bodily Force,Male,Black,Assaulted Officer                                                              ,Sumner - Glenwood,Domestic Abuse-In Progress ,DOMEN,44.98503,-93.288737
21153,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,Near - North,Suspicious Vehicle ,STOLMV,44.985137,-93.293985
21154,Taser,Female,White,Tensed                                                                         ,Whittier,Person with a Weapon ,FORCE,44.950852,-93.277907
21155,Bodily Force,Male,Black,Fled on Foot                                                                   ,CARAG,Chase on Foot ,FLEEFT,44.948362,-93.292554
21157,Bodily Force,Male,Unknown,Tensed                                                                         ,Marshall Terrace,Attempted Suicide ,CIC,45.023107,-93.270353
21158,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Unknown Trouble ,HLTWEL,44.976944,-93.278197
21159,Bodily Force,Male,Black,Fled on Foot                                                                   ,Whittier,Suspicious Vehicle ,FLEEFT,44.961801,-93.277819
21160,Bodily Force,Male,Black,Other                                                                          ,North Loop,Unwanted Person ,TRSPAS,44.987172,-93.276238
21161,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Robbery of Biz In Progress ,ASLT5,44.976808,-93.276431
21162,Bodily Force,Male,Black,Tensed                                                                         ,Longfellow,Domestic Abuse-In Progress ,DASLT2,44.947613,-93.227081
21163,Bodily Force,Male,Black,Other                                                                          ,Whittier,Unwanted Person ,DAMMV,44.952838,-93.276601
21164,Bodily Force,Male,White,Fled on Foot                                                                   ,Marcy Holmes,Theft ,FLEEFT,44.981751,-93.235695
21165,Bodily Force,Male,White,Other                                                                          ,Marcy Holmes,Overdose-Accidental ,ARSON,44.986729,-93.253053
21166,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON,44.982469,-93.271954
21167,Chemical Irritant,Female,Black,Assaulted Officer,Jordan,Emotionally Disturb Person ,CIC,45.013221,-93.304573
21168,Bodily Force,Male,Other / Mixed Race,Tensed,Downtown West,Unwanted Person ,FORCE,44.974813,-93.278693
21169,Bodily Force,Female,Black,Tensed,Near - North,Down Outside-One ,WT,44.989556,-93.29092
21170,Bodily Force,Male,White,Tensed,King Field,Miscellaneous ,TRSPAS,44.934126,-93.275969
21171,Bodily Force,Male,Black,Fled on Foot,Central,Suspicious Person ,FLEEFT,44.947512,-93.26393
21172,Bodily Force,Male,White,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4,44.980065,-93.271883
21173,Bodily Force,Female,Black,Tensed,Armatage,Emotionally Disturb Person ,CIC,44.902429,-93.308648
21174,Bodily Force,Male,Black,Tensed,Lyndale,Domestic ,WT,44.9466,-93.280534
21175,Bodily Force,Male,Black,Tensed,Hawthorne,Domestic Abuse-In Progress ,DOMEN,45.008648,-93.294312
21176,Bodily Force,Male,Other / Mixed Race,Fled in Vehicle,Bancroft,Suspicious Vehicle ,FLEE,44.933203,-93.248608
21177,Bodily Force,Male,White,Tensed,Harrison,Domestic Abuse-In Progress ,CIC,44.983363,-93.301979
21178,Bodily Force,Male,Black,Other                                                                          ,Loring Park,Unknown Trouble ,OFPEN,44.969381,-93.277816
21179,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Disturbance ,DISCON,44.980808,-93.273141
21180,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Loring Park,Fight ,FORCE,44.969381,-93.277816
21181,Bodily Force,Male,Black,Fled on Foot                                                                   ,Near - North,Fight ,ROBPER,44.991497,-93.301323
21182,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Disturbance ,DISCON,44.981648,-93.273116
21183,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Unwanted Person ,TRSPAS,44.980065,-93.271883
21184,Bodily Force,Male,Native American,Tensed                                                                         ,Midtown Phillips,Check the Welfare ,CIC,44.958236,-93.252392
21185,Bodily Force,Male,White,Assaulted Officer                                                              ,Hawthorne,Suspicious Vehicle ,ASLT4,45.01132,-93.289539
21186,Chemical Irritant,Male,Unknown,Commission of a Crime                                                          ,Hawthorne,Domestic ,OBSTRU,45.01134,-93.291702
21188,Taser,Male,Black,Verbal Non-Compliance                                                          ,Shingle Creek,Domestic Abuse-In Progress ,CIC,45.048511,-93.316931
21189,Chemical Irritant,Male,Unknown,Verbal Non-Compliance                                                          ,Downtown West,Assault in Progress ,FORCE,44.979626,-93.272499
21190,Bodily Force,Male,White,Fled on Foot                                                                   ,Downtown West,Unwanted Person ,POSDPA,44.979124,-93.266665
21191,Bodily Force,Male,Black,Fled on Foot                                                                   ,Downtown West,Suspicious Person ,TRSPAS,44.975335,-93.277636
21192,Bodily Force,Male,Unknown,Commission of a Crime                                                          ,Downtown West,Drunk/Intoxicated Person ,DISCON,44.981655,-93.271963
21194,Bodily Force,Male,Black,Tensed                                                                         ,Northeast Park,Fight ,OBSTRU,45.001717,-93.237169
21195,Taser,Male,Native American,Commission of a Crime                                                          ,Powderhorn Park,Assault in Progress ,ASLT2,44.94746,-93.252495
21196,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Fight ,ASLT5,44.975335,-93.277636
21197,Bodily Force,Male,Black,Tensed                                                                         ,East Phillips,Person with a Weapon ,ASLT2,44.955537,-93.2518
21198,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Emotionally Disturb Person ,FORCE,44.977582,-93.275347
21199,Bodily Force,Female,Black,Commission of a Crime                                                          ,Victory,Community Engagement Meeting,TRSSCH,45.034413,-93.305988
21200,Chemical Irritant,Female,Black,Tensed                                                                         ,Downtown West,Fight ,MTC,44.980065,-93.271883
21201,Taser,Male,Asian,Other                                                                          ,Jordan,Attempted Suicide ,CIC,45.01136,-93.297476
21202,Bodily Force,Male,Black,Other                                                                          ,Marcy Holmes,Walk Through a Building ,LICVIO,44.990909,-93.251577
21203,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Unwanted Person ,DISCON,44.979187,-93.273109
21204,Bodily Force,Male,Black,Tensed                                                                         ,North Loop,Disturbance ,OBSTRU,44.98431,-93.279496
21205,Taser,Male,White,Fled on Foot                                                                   ,Downtown West,Emotionally Disturb Person ,CIC,44.976181,-93.264521
21206,Chemical Irritant,Female,Black,Other                                                                          ,Standish,On Site ,DISCON,44.929603,-93.232119
21207,Bodily Force,Male,Unknown,Tensed                                                                         ,Cleveland,Domestic Abuse-In Progress ,DAMPRP,45.015049,-93.310427
21208,Bodily Force,Male,Black,Tensed                                                                         ,Hawthorne,Unwanted Person ,DASTR,45.008648,-93.294312
21209,Bodily Force,Male,White,Tensed                                                                         ,Mid - City Industrial,Poss Personal Injury Acc ,DWIDRE,44.998699,-93.237799
21210,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Holland,Suspicious Vehicle ,FINFO,45.013162,-93.252767
21211,Bodily Force,Male,Black,Fled on Foot                                                                   ,Lowry Hill East,Chase on Foot ,PFARM,44.949609,-93.298274
21212,Taser,Male,White,Assaulted Officer                                                              ,Downtown West,Disturbance ,ASLT4,44.976774,-93.27736
21213,Bodily Force,Male,Black,Assaulted Officer                                                              ,Northeast Park,Fight ,OBSTRU,45.001717,-93.237169
21214,Chemical Irritant,Male,White,Verbal Non-Compliance                                                          ,Downtown West,Directed Patrol ,DISCON,44.979986,-93.274284
21215,Bodily Force,Male,Black,Other                                                                          ,Near - North,Officer Needs Help ,THREAT,44.999135,-93.286823
21216,Bodily Force,Male,Black,Fled on Foot                                                                   ,Folwell,Domestic Abuse-In Progress ,OFPEN,45.019543,-93.305722
21217,Bodily Force,Male,Unknown,Tensed                                                                         ,Lyndale,Person with a Gun ,CIC,44.943831,-93.279706
21218,Bodily Force,Male,Black,Other                                                                          ,Downtown West,Fight ,MTC,44.980065,-93.271883
21219,Bodily Force,Female,Black,Other                                                                          ,Willard - Hay,Assault in Progress ,OBSTRU,44.99578,-93.308216
21220,Bodily Force,Male,Native American,Other                                                                          ,Marcy Holmes,Unwanted Person ,DAMPRP,44.985314,-93.233748
21222,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Unwanted Person ,DISCON,44.979187,-93.273109
21223,Chemical Irritant,Male,Black,Tensed                                                                         ,Downtown West,Assault in Progress ,DISCON,44.979124,-93.266665
